Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,1.318359375,1.318359375,1.318359375,1.318359375,1.318359375
0.2,5.115234375,5.115234375,5.115234375,5.115234375,5.115234375
0.3,11.443359375,11.443359375,11.443359375,11.443359375,11.443359375
0.4,20.302734375,20.302734375,20.302734375,20.302734375,20.302734375
0.5,31.693359375,31.693359375,31.693359375,31.693359375,31.693359375
0.6,45.615234375,45.615234375,45.615234375,45.615234375,45.615234375
0.7,62.068359375,62.068359375,62.068359375,62.068359375,62.068359375
0.8,81.052734375,81.052734375,81.052734375,81.052734375,81.052734375
0.9,102.568359375,102.568359375,102.568359375,102.568359375,102.568359375
1,126.615234375,126.615234375,126.615234375,126.615234375,126.615234375
