size,image_quality,1,2,4,8,16,32
14400,160x90,643,1074,1705,3133,11752,14756
16000,160x100,723,1066,1646,3444,12189,15473
19200,160x120,804,1359,1927,3603,12431,16245
43200,240x180,606,1598,1778,3730,12497,16297
57600,320x180,539,1141,1710,3216,11695,14779
64000,320x200,888,1298,1816,3359,12041,15521
76800,320x240,560,1131,1823,3654,12496,16323
129600,480x270,739,1195,1801,3146,11787,14761
144000,480x300,664,1244,1870,3332,12101,15291
172800,480x360,893,1137,1890,3653,12358,16187
230400,640x360,513,1325,1804,3136,11714,14700
256000,640x400,708,1520,1657,3287,12087,15406
307200,640x480,1029,1206,1674,3703,12447,16152
360000,800x450,556,1368,1536,3227,11651,14580
400000,800x500,637,1057,1947,3151,12055,15354
480000,800x600,677,1178,2133,3654,12572,16045
589824,1024x576,578,1298,1770,3319,11567,14404
655360,1024x640,685,1131,1685,3447,11925,15052
786432,1024x768,697,1217,2205,3764,12270,15855
921600,1280x720,812,1265,1776,3252,11607,14370
1024000,1280x800,929,1114,1743,3477,11805,14959
1228800,1280x960,756,1154,1964,3743,12308,15855
1296000,1440x900,737,1129,1837,3544,11814,14816
1555200,1440x1080,695,1600,2022,3755,12152,15486
2073600,1920x1080,628,1186,1896,3243,11403,13770
