Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.104731250435016,31.622527090760464,31.184696135986428,31.717872145979833,30.895308426247873
0.2,32.87097977622893,33.24957390837022,32.87015900977413,33.2235119188962,32.51541589528967
0.3,32.81772684555675,33.886925387468544,33.517977579407905,33.87879866904417,33.20882033320636
0.4,33.686667410130596,34.13705542125745,33.95705274657505,34.20126791763563,33.66803229085089
0.5,35.71005634360297,34.93841199574456,34.68934173940426,35.3481936062392,34.16661297481728
0.6,33.667840553097896,34.57501055009738,34.452998996795436,34.57307198142081,34.26383469768494
0.7,33.7681116933689,35.991900922359996,36.49783533027708,35.74256897671666,36.089974408301195
0.8,34.313684419309254,36.181078308862084,37.325714078514345,36.21485548990815,37.08893760302039
0.9,33.80732599573198,36.54247051432274,38.17554382259351,35.96743080163327,38.543223442035575
1,inf,inf,inf,inf,inf
