FN- resolution/model,yolov5,ssd,retinanet
160x90,0.0,0.0,0.0
160x100,2.0,1.5,1.0
160x120,0.0,0.0,0.0
240x180,0.0,0.0,1.0
320x180,1.0,0.0,2.0
320x200,0.0,0.0,1.0
320x240,1.0,1.75,3.0
480x270,1.0,1.0,2.0
480x300,2.0,1.0,4.0
480x360,1.0,1.0,4.0
640x360,1.0,1.0,4.0
640x400,1.0,1.0,5.0
640x480,0.0,0.0,3.0
800x450,2.0,2.0,5.25
800x500,0.0,0.0,3.0
800x600,0.0,2.0,4.0
1024x576,0.0,0.0,3.0
1024x640,0.0,1.0,4.0
1024x768,0.0,3.0,4.0
1280x720,0.0,0.0,3.0
1280x800,0.0,2.0,5.0
1280x960,0.0,1.75,3.5
1440x900,1.0,3.0,5.0
1440x1080,0.0,1.0,3.0
1920x1080,1.0,1.0,3.0
