FP- resolution/model,yolov5,ssd,retinanet
160x90,1.0,20.0,240.5
160x100,0.0,19.25,243.75
160x120,0.0,20.0,197.5
240x180,1.0,19.0,152.75
320x180,0.25,18.0,190.75
320x200,3.0,19.0,206.75
320x240,0.0,18.75,163.75
480x270,2.0,19.0,184.5
480x300,1.25,16.0,187.75
480x360,1.0,17.0,173.5
640x360,0.0,16.0,180.0
640x400,0.0,16.0,170.75
640x480,2.0,17.0,160.75
800x450,0.0,16.0,176.75
800x500,3.0,17.0,175.75
800x600,3.75,18.0,172.0
1024x576,3.0,17.0,156.0
1024x640,3.0,17.0,175.25
1024x768,3.0,18.0,163.0
1280x720,4.0,17.0,150.5
1280x800,2.0,17.0,163.25
1280x960,4.5,18.0,154.5
1440x900,2.0,17.0,159.0
1440x1080,4.75,18.0,149.0
1920x1080,1.0,17.75,130.75
