TP- resolution/model,yolov5,ssd,retinanet
160x90,0.0,0.0,0.0
160x100,0.0,0.25,1.0
160x120,0.0,0.0,0.0
240x180,1.0,1.0,0.0
320x180,1.0,2.0,0.0
320x200,1.0,1.0,0.0
320x240,2.0,1.25,0.0
480x270,1.0,1.0,0.0
480x300,3.0,4.0,0.75
480x360,3.0,3.0,0.0
640x360,4.0,4.0,1.0
640x400,4.0,4.0,0.0
640x480,3.0,3.0,0.0
800x450,4.0,4.0,1.0
800x500,3.0,3.0,0.0
800x600,4.0,2.0,0.0
1024x576,3.0,3.0,0.0
1024x640,4.0,3.0,0.0
1024x768,5.0,2.0,0.5
1280x720,3.0,3.0,0.0
1280x800,5.0,3.0,0.0
1280x960,3.5,2.0,0.0
1440x900,5.0,3.0,1.0
1440x1080,3.0,2.0,0.0
1920x1080,2.0,2.25,0.0
