recall- resolution/model,yolov5,ssd,retinanet
160x90,0.0,0.0,0.0
160x100,0.0,0.125,0.5
160x120,0.0,0.0,0.0
240x180,1.0,1.0,0.0
320x180,0.5,1.0,0.0
320x200,1.0,1.0,0.0
320x240,0.667,0.417,0.0
480x270,0.5,0.5,0.0
480x300,0.6,0.8,0.15
480x360,0.75,0.75,0.0
640x360,0.8,0.8,0.2
640x400,0.8,0.8,0.0
640x480,1.0,1.0,0.0
800x450,0.667,0.667,0.161
800x500,1.0,1.0,0.0
800x600,1.0,0.5,0.0
1024x576,1.0,1.0,0.0
1024x640,1.0,0.75,0.0
1024x768,1.0,0.4,0.083
1280x720,1.0,1.0,0.0
1280x800,1.0,0.6,0.0
1280x960,1.0,0.542,0.0
1440x900,0.833,0.5,0.167
1440x1080,1.0,0.667,0.0
1920x1080,0.608,0.75,0.0
