Scaling Factor,INTER_NEAREST (ms),INTER_LINEAR (ms),INTER_CUBIC (ms),INTER_AREA (ms),INTER_LANCZOS4 (ms)
0.1,0.1324462890625,0.0940185546875,0.0725341796875,0.089111328125,1.03935546875
0.2,0.1263916015625,0.1013427734375,0.0822265625,0.106591796875,1.1012451171875
0.3,0.1211669921875,0.1309814453125,0.1181396484375,0.1236083984375,1.0177978515625
0.4,0.110693359375,0.139794921875,0.1187255859375,0.1327392578125,1.0941162109375
0.5,0.143798828125,0.2240234375,0.1312255859375,0.1584716796875,1.1600830078125
0.6,0.1162109375,0.1611328125,0.140869140625,0.1635986328125,1.155419921875
0.7,0.1144287109375,0.1673095703125,0.1480712890625,0.163232421875,1.499267578125
0.8,0.1224609375,0.178173828125,0.1545166015625,0.1802734375,1.517822265625
0.9,0.122607421875,0.195751953125,0.17265625,0.19619140625,1.8912353515625
1,0.0190185546875,0.018505859375,0.0257568359375,0.024658203125,0.018212890625
