Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
0.2,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
0.3,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
0.4,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
0.5,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
0.6,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
0.7,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
0.8,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
0.9,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
1,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
