FN- frame/model,yolov5,ssd,retinanet
1,1.0,1.0,4.0
2,1.0,1.5,4.0
4,1.0,1.5,4.0
8,1.0,1.5,4.0
16,1.0,1.5,4.5
32,1.0,2.0,4.0
