accuracy- frame/model,yolov5,ssd,retinanet
1,0.667,0.2,0.006
2,0.75,0.2,0.006
4,0.75,0.2,0.006
8,0.75,0.2,0.006
16,0.75,0.2,0.006
32,0.75,0.2,0.006
