FP- frame/model,yolov5,ssd,retinanet
1,2.0,16.0,268.0
2,2.0,16.0,265.5
4,2.0,16.0,258.5
8,2.0,16.0,267.5
16,2.0,15.5,267.0
32,2.0,16.0,268.0
