recall- frame/model,yolov5,ssd,retinanet
1,0.875,0.75,0.25
2,0.875,0.714,0.25
4,0.857,0.714,0.25
8,0.857,0.708,0.25
16,0.857,0.732,0.25
32,0.875,0.75,0.25
