TP- frame/model,yolov5,ssd,retinanet
1,5.0,4.0,1.0
2,5.0,4.0,1.0
4,5.0,4.0,1.0
8,5.0,4.0,1.0
16,5.0,4.0,1.0
32,5.0,4.0,1.0
