480x360,0.0063,0.0103,0.0172,0.0269,0.0388,0.0529,0.0704,0.0942,0.0939,0.0214,         ,480x360,0.0096,0.0197,0.0383,0.0614,0.0422,0.1377,0.1432,0.1648,0.1908,0.0198,         ,480x360,0.0311,0.0388,0.0619,0.0862,0.1061,0.1273,0.1516,0.1733,0.1941,0.0192,         ,480x360,0.1593,0.1835,0.4657,0.5402,0.0428,0.8495,1.0975,0.767,0.936,0.0201,         ,480x360,0.1548,0.3905,0.6078,0.8572,1.1355,1.4248,1.7283,1.5396,1.54,0.0198,         
640x360,0.0072,0.0121,0.0222,0.035,0.0511,0.0714,0.0968,0.0955,0.0953,0.0254,         ,640x360,0.0115,0.0251,0.0504,0.0811,0.0574,0.1564,0.1818,0.2201,0.1763,0.0256,         ,640x360,0.037,0.0498,0.0842,0.1136,0.1438,0.1703,0.1996,0.1469,0.1361,0.0267,         ,640x360,0.2328,0.2542,0.6672,0.7618,0.0591,1.162,0.9128,0.995,0.9191,0.0273,         ,640x360,0.2052,0.5336,0.8407,1.1643,1.5232,1.8948,1.724,1.6897,1.9686,0.0259,         
640x400,0.0076,0.0134,0.0243,0.0396,0.0576,0.0807,0.1022,0.1095,0.1113,0.0278,         ,640x400,0.0122,0.0272,0.0544,0.0923,0.0646,0.175,0.1882,0.2332,0.2079,0.0282,         ,640x400,0.038,0.0564,0.0938,0.129,0.1589,0.1913,0.1392,0.1113,0.1243,0.03,         ,640x400,0.2646,0.2953,0.7712,0.8528,0.0667,1.2972,0.9952,1.0934,0.9403,0.0292,         ,640x400,0.2211,0.5718,0.9097,1.2692,1.653,2.0828,1.5264,1.8433,1.7599,0.0291,         
640x480,0.0081,0.0157,0.0289,0.0472,0.0696,0.0903,0.1089,0.1111,0.1063,0.0343,         ,640x480,0.0142,0.0327,0.0662,0.1118,0.0779,0.1973,0.2357,0.1995,0.1975,0.0352,         ,640x480,0.0433,0.0695,0.1173,0.1132,0.0884,0.0969,0.0995,0.1079,0.1295,0.0391,         ,640x480,0.342,0.3849,1.0001,1.0898,0.0831,0.9749,1.2312,1.1592,1.2605,0.0364,         ,640x480,0.2731,0.7256,1.1208,1.5322,2.0149,1.5099,2.3483,2.2455,2.1801,0.0344,         
800x450,0.0088,0.0176,0.033,0.0549,0.0808,0.0975,0.0901,0.1007,0.1213,0.0392,         ,800x450,0.0159,0.0389,0.0776,0.1326,0.0909,0.2502,0.1978,0.1949,0.2374,0.0413,         ,800x450,0.0442,0.089,0.0828,0.09,0.0878,0.12,0.1155,0.1252,0.1368,0.0465,         ,800x450,0.4115,0.4799,1.1694,1.2869,0.0964,1.1552,1.4606,1.2788,1.4889,0.0413,         ,800x450,0.325,0.8373,1.2932,1.8047,2.2969,2.5679,1.9685,2.1674,2.553,0.0402,         
800x500,0.0101,0.0197,0.0369,0.0605,0.0905,0.1127,0.1008,0.1094,0.1228,0.0443,         ,800x500,0.0176,0.0431,0.0859,0.1476,0.09,0.248,0.2216,0.2172,0.2329,0.0469,         ,800x500,0.0508,0.0922,0.0889,0.0892,0.0996,0.0999,0.1053,0.1263,0.1309,0.0522,         ,800x500,0.4564,0.5421,1.2971,1.3945,0.101,1.2463,1.4886,1.4602,1.514,0.0466,         ,800x500,0.3668,0.9319,1.4236,1.9667,1.8112,1.9021,2.5015,2.316,2.4352,0.0433,         
800x600,0.0107,0.0232,0.0427,0.0729,0.1115,0.0918,0.1031,0.1127,0.1359,0.0519,         ,800x600,0.0195,0.0509,0.0995,0.1764,0.0979,0.2177,0.2107,0.2434,0.2419,0.0574,         ,800x600,0.0532,0.0973,0.1003,0.0968,0.1099,0.1356,0.1362,0.1439,0.1661,0.0616,         ,800x600,0.5475,0.6245,1.52,1.613,0.1188,1.1707,1.4541,1.3893,1.4965,0.0548,         ,800x600,0.4197,1.0933,1.6833,2.2792,1.749,2.1921,2.3434,2.3356,2.5404,0.0522,         
1024x576,0.0125,0.0273,0.0525,0.0875,0.1393,0.111,0.1256,0.1204,0.1381,0.0612,         ,1024x576,0.0225,0.0592,0.12,0.2063,0.1138,0.27,0.2704,0.254,0.2394,0.0626,         ,1024x576,0.0541,0.1055,0.1183,0.1625,0.1627,0.2551,0.4028,0.5465,0.5846,0.0714,         ,1024x576,0.6582,0.7164,1.7572,1.8988,0.1237,1.2759,1.6609,1.4208,1.5391,0.0634,         ,1024x576,0.5052,1.3298,2.0316,2.8307,2.5383,2.8776,2.8021,2.488,2.7024,0.0635,         
1024x640,0.0134,0.0299,0.0577,0.1122,0.1216,0.1138,0.119,0.1315,0.1654,0.0728,         ,1024x640,0.0253,0.0671,0.1343,0.2467,0.1407,0.2427,0.2474,0.2581,0.2804,0.0735,         ,1024x640,0.0846,0.0758,0.1185,0.1587,0.1724,0.3224,0.4521,0.5503,0.6543,0.0834,         ,1024x640,0.723,0.7728,1.9192,1.2231,0.1277,1.488,1.6886,1.6256,1.5731,0.0747,         ,1024x640,0.5496,1.4724,2.2367,2.7899,2.6442,2.515,2.616,2.8223,2.7737,0.0742,         
1024x768,0.0162,0.0363,0.0692,0.1211,0.129,0.1558,0.1677,0.1649,0.1688,0.0876,         ,1024x768,0.0289,0.0792,0.1561,0.2808,0.141,0.2902,0.2637,0.2853,0.2819,0.0887,         ,1024x768,0.0917,0.1083,0.1407,0.2014,0.2087,0.3717,0.4802,0.5699,0.6694,0.0953,         ,1024x768,0.8678,0.9171,2.2689,2.2279,0.1506,1.8623,1.7196,1.455,1.5498,0.0928,         ,1024x768,0.6896,1.801,2.7568,3.2727,2.7485,3.1356,2.811,2.8049,2.7014,0.0908,         
1280x720,0.0186,0.0411,0.0828,0.1525,0.1427,0.1709,0.1722,0.1628,0.1975,0.1024,         ,1280x720,0.032,0.0895,0.1802,0.3275,0.1412,0.3047,0.2927,0.2968,0.3059,0.1063,         ,1280x720,0.0938,0.1201,0.1516,0.1744,0.2061,0.2062,0.2516,0.2694,0.3142,0.1163,         ,1280x720,0.9773,1.0615,2.5776,2.5807,0.1466,1.7498,1.7139,1.5446,1.6277,0.1091,         ,1280x720,0.8047,2.0327,3.0958,3.2148,2.9003,3.0507,2.9467,2.9702,2.8816,0.1069,         
1280x800,0.0203,0.0465,0.09,0.1758,0.1479,0.1609,0.1753,0.1841,0.1827,0.1133,         ,1280x800,0.0337,0.1013,0.1969,0.3224,0.1599,0.3016,0.3114,0.3021,0.2902,0.1168,         ,1280x800,0.0931,0.1357,0.1519,0.178,0.2028,0.2284,0.2462,0.2888,0.3295,0.1239,         ,1280x800,1.0388,1.1492,2.8865,2.012,0.157,1.6571,1.6527,1.5129,1.5366,0.1221,         ,1280x800,0.8735,2.2653,3.4937,4.3422,2.9718,2.7936,2.8735,2.9727,2.9017,0.1199,         
1280x960,0.0248,0.0575,0.1272,0.1543,0.1622,0.17,0.1862,0.1908,0.1992,0.142,         ,1280x960,0.0413,0.1271,0.2518,0.319,0.163,0.3262,0.3298,0.3206,0.3284,0.1436,         ,1280x960,0.0996,0.1449,0.1613,0.1908,0.2079,0.264,0.3014,0.3304,0.3727,0.1405,         ,1280x960,1.2263,1.3485,2.3578,1.8375,0.1654,1.7067,1.8167,1.5471,1.5872,0.1462,         ,1280x960,1.0168,2.6752,2.7961,3.2831,3.1642,3.0607,3.047,2.9691,2.8813,0.1444,         
1440x900,0.0239,0.0574,0.134,0.1594,0.1522,0.175,0.1848,0.1755,0.2007,0.1488,         ,1440x900,0.0425,0.1212,0.2545,0.3104,0.1464,0.3308,0.322,0.3074,0.3154,0.1501,         ,1440x900,0.1051,0.1329,0.1639,0.2124,0.2312,0.259,0.2976,0.3372,0.379,0.1537,         ,1440x900,1.2533,1.4846,2.3522,2.5216,0.1656,1.801,1.7078,1.5078,1.6554,0.1498,         ,1440x900,1.0547,2.8107,2.6576,3.1611,3.2656,3.2644,2.9446,2.8574,2.8695,0.1537,         
1440x1080,0.0297,0.0663,0.1349,0.1577,0.1714,0.167,0.1897,0.1981,0.2434,0.1904,         ,1440x1080,0.0518,0.1554,0.313,0.3054,0.1488,0.3184,0.3313,0.4296,0.4338,0.1915,         ,1440x1080,0.1084,0.1656,0.1949,0.2358,0.2502,0.281,0.3438,0.4121,0.4022,0.1907,         ,1440x1080,1.4423,1.7372,3.8619,2.2606,0.1643,1.6547,1.7051,1.5421,2.7722,0.2004,         ,1440x1080,1.2458,3.3236,4.6357,3.6005,3.4425,3.1372,2.9575,2.8618,4.9563,0.1998,         
1920x1080,0.0367,0.0992,0.1627,0.1774,0.1749,0.204,0.2084,0.2732,0.2919,0.27,         ,1920x1080,0.0725,0.2107,0.286,0.3214,0.1757,0.3357,0.3496,0.4926,0.5087,0.2776,         ,1920x1080,0.129,0.2001,0.2328,0.2894,0.3292,0.3654,0.4932,0.5005,0.5647,0.2694,         ,1920x1080,1.8622,2.0919,3.1384,2.3597,0.1803,1.8,1.8469,2.771,2.8232,0.3167,         ,1920x1080,1.6038,4.2008,4.0554,3.7645,3.5757,3.3521,3.0531,5.2527,5.3442,0.2834,         
