Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,113.42283338758679,107.99866373697918,113.16086398654514,108.18276828342013,118.12054741753471
0.2,105.21336751302081,102.73059299045141,102.87704861111112,101.89543375651043,108.8577338324653
0.3,109.18657633463542,104.54206976996531,103.34657226562499,97.35467583550347,102.33081759982637
0.4,102.14673936631947,99.07686089409721,97.16514051649304,89.20671359592015,101.26582004123266
0.5,76.6198082139757,84.16030924479165,93.88249186197915,84.71394341362848,111.5971468098958
0.6,100.36347764756944,91.72522623697918,85.99035536024304,88.57873806423609,98.98998779296876
0.7,104.98536159939235,93.38621907552081,79.78400444878471,87.51065917968751,82.27489908854169
0.8,98.1685715060764,88.95320692274304,73.35580620659722,75.6258468967014,75.81173963758681
0.9,105.02406168619791,89.73177029079862,69.75966145833333,85.4671706814236,59.93874891493056
1,0.0,0.0,0.0,0.0,0.0
