Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.622535170085477,32.27313439655388,31.660745223095567,32.36234917509417,31.31284450784249
0.2,32.542275654783694,33.06126803458381,32.60458690417527,33.23545818919992,32.27492256208916
0.3,32.531773610171335,33.70023876417825,33.163072030620626,33.75642661648532,32.81005540612221
0.4,32.99283132683093,34.16230868176597,33.74373452721243,34.182383298932976,33.32057155397638
0.5,34.81840002182638,34.38462977591842,34.259081318054065,34.74647586614246,33.72443846706802
0.6,33.2033379862712,35.394013971262154,35.64572539969639,35.02485340194412,35.2181249778443
0.7,32.943887321587354,35.62852510650101,36.737035374834754,35.344033927266594,36.593955450728956
0.8,33.43677647036268,35.8747839209416,37.94460192522856,35.92222783010616,38.38625203080511
0.9,32.95934271796898,36.3691801327215,39.223540836391614,35.67718502542768,40.667694783468825
1,inf,inf,inf,inf,inf
