FN- frame/model,yolov5,ssd,retinanet
1,0.56,0.92,3.12
2,0.6,1.06,3.08
4,0.59,0.94,3.0
8,0.59,0.97,3.025
16,0.585,0.99,3.06
32,0.568,0.92,3.044
