TP- frame/model,yolov5,ssd,retinanet
1,2.68,2.32,0.12
2,2.74,2.28,0.26
4,2.62,2.27,0.21
8,2.685,2.305,0.25
16,2.692,2.288,0.217
32,2.666,2.314,0.19
