Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,49.64388020833333,44.34947786458333,48.74429036458333,45.4755859375,52.756160156250004
0.2,35.84332812499999,32.53891015624999,35.5248125,33.777074218749995,38.828098958333335
0.3,34.640270833333325,26.649096354166666,28.52908333333334,27.9203359375,31.415841145833333
0.4,29.497473958333337,23.252542968749996,24.118157552083336,24.23009635416667,26.630891927083333
0.5,18.365445312500004,22.427680989583333,23.339699218750003,20.44147916666667,26.17659635416667
0.6,27.352928385416668,18.113540364583336,18.06633333333333,19.55109505208333,20.34754947916667
0.7,29.001621093749996,17.229721354166664,15.5242734375,18.342250000000003,17.157476562499998
0.8,25.24601041666667,16.47061979166667,12.9236015625,16.59341796875,13.3131484375
0.9,28.185858072916666,15.099424479166666,10.31782291666667,17.060739583333337,8.818247395833335
1,0.0,0.0,0.0,0.0,0.0
