Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,9.052734375,9.052734375,9.052734375,9.052734375,9.052734375
0.2,36.052734375,36.052734375,36.052734375,36.052734375,36.052734375
0.3,81.052734375,81.052734375,81.052734375,81.052734375,81.052734375
0.4,144.052734375,144.052734375,144.052734375,144.052734375,144.052734375
0.5,225.052734375,225.052734375,225.052734375,225.052734375,225.052734375
0.6,324.052734375,324.052734375,324.052734375,324.052734375,324.052734375
0.7,441.052734375,441.052734375,441.052734375,441.052734375,441.052734375
0.8,576.052734375,576.052734375,576.052734375,576.052734375,576.052734375
0.9,729.052734375,729.052734375,729.052734375,729.052734375,729.052734375
1,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
