Scaling Factor,INTER_NEAREST (ms),INTER_LINEAR (ms),INTER_CUBIC (ms),INTER_AREA (ms),INTER_LANCZOS4 (ms)
0.1,0.013671875,0.0159912109375,0.02490234375,0.0521484375,0.048095703125
0.2,0.0126220703125,0.0279052734375,0.049169921875,0.068212890625,0.106103515625
0.3,0.0166748046875,0.0487060546875,0.0810791015625,0.1558349609375,0.1649169921875
0.4,0.020068359375,0.075439453125,0.1157470703125,0.158544921875,0.2462890625
0.5,0.0278076171875,0.0356201171875,0.1483642578125,0.0157470703125,0.3036865234375
0.6,0.03486328125,0.1341796875,0.1826171875,0.2307373046875,0.378857421875
0.7,0.04111328125,0.162060546875,0.2203857421875,0.294140625,0.457373046875
0.8,0.0481689453125,0.1976318359375,0.2617431640625,0.3229248046875,0.5481689453125
0.9,0.057373046875,0.228662109375,0.305810546875,0.40478515625,0.6523193359375
1,0.0187255859375,0.0163818359375,0.0181396484375,0.01708984375,0.0167724609375
