FP- resolution/model,yolov5,ssd,retinanet
176x144,0.25,20.0,67.25
160x90,0.0,11.0,87.0
160x120,0.0,14.0,62.75
240x180,0.0,16.25,62.75
320x180,2.0,16.75,105.5
320x240,0.0,17.5,76.75
480x270,4.0,16.0,112.5
480x360,0.0,17.75,83.25
640x360,6.0,16.0,113.25
800x450,5.0,16.0,112.25
800x600,0.0,17.75,79.75
640x480,0.0,17.25,80.75
1024x640,0.0,14.0,94.75
1280x800,0.0,16.0,94.0
1024x768,0.0,18.0,75.5
1280x720,3.0,16.0,111.0
1280x960,0.0,18.0,76.0
