FN- resolution/model,yolov5,ssd,retinanet
176x144,0.0,0.0,0.0
160x90,1.0,1.0,0.0
160x120,2.0,1.0,1.0
240x180,2.0,1.0,3.0
320x180,1.0,1.0,2.0
320x240,2.0,1.0,3.0
480x270,1.0,0.0,2.5
480x360,1.25,0.0,2.75
640x360,2.0,0.0,3.0
800x450,1.75,1.0,3.25
800x600,1.0,0.0,2.0
640x480,1.0,0.0,2.25
1024x640,3.0,1.0,5.0
1280x800,2.0,1.0,5.0
1024x768,0.25,0.0,2.0
1280x720,2.0,1.5,5.0
1280x960,0.75,0.0,2.0
