TP- resolution/model,yolov5,ssd,retinanet
176x144,0.0,0.0,0.0
160x90,0.0,0.0,1.0
160x120,0.0,1.0,1.0
240x180,1.0,2.0,0.0
320x180,2.0,2.0,1.0
320x240,1.25,2.5,0.0
480x270,2.5,3.0,1.0
480x360,1.0,2.25,0.0
640x360,2.25,3.5,1.0
800x450,3.0,3.25,1.0
800x600,1.0,2.0,0.0
640x480,1.0,2.0,0.0
1024x640,2.0,4.0,0.0
1280x800,3.0,4.0,0.0
1024x768,2.0,2.0,0.0
1280x720,4.0,4.0,1.0
1280x960,1.25,2.0,0.0
