recall- resolution/model,yolov5,ssd,retinanet
176x144,0.0,0.0,0.0
160x90,0.0,0.0,1.0
160x120,0.0,0.5,0.5
240x180,0.333,0.667,0.0
320x180,0.667,0.667,0.333
320x240,0.417,0.729,0.0
480x270,0.688,1.0,0.292
480x360,0.458,1.0,0.0
640x360,0.6,1.0,0.25
800x450,0.667,0.775,0.237
800x600,0.5,1.0,0.0
640x480,0.5,1.0,0.0
1024x640,0.4,0.8,0.0
1280x800,0.6,0.8,0.0
1024x768,0.917,1.0,0.0
1280x720,0.667,0.729,0.167
1280x960,0.625,1.0,0.0
