accuracy- resolution/model,yolov5,ssd,retinanet
176x144,0.0,0.0,0.0
160x90,0.0,0.0,0.011
160x120,0.0,0.065,0.016
240x180,1.0,0.11,0.0
320x180,0.5,0.107,0.009
320x240,1.0,0.125,0.0
480x270,0.417,0.164,0.009
480x360,1.0,0.113,0.0
640x360,0.264,0.183,0.009
800x450,0.365,0.177,0.009
800x600,1.0,0.101,0.0
640x480,1.0,0.107,0.0
1024x640,1.0,0.217,0.0
1280x800,1.0,0.2,0.0
1024x768,1.0,0.1,0.0
1280x720,0.554,0.2,0.009
1280x960,1.0,0.1,0.0
