Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,113.74831189986284,109.19856460048013,114.61193565672154,108.222103909465,119.42283650548697
0.2,106.67723915466391,104.29342421124827,104.56424189814814,102.78961226851854,109.98102430555556
0.3,110.31678219307267,106.44012838648834,105.62594307270231,98.52080761316871,104.59776277434841
0.4,103.25903013545954,101.02457818930041,99.53518990054872,90.83540123456791,103.37835433813441
0.5,78.30364797668038,85.63638310185185,96.21570216049383,87.27496913580248,112.57103330761313
0.6,101.89022633744855,93.42407728909464,88.59119362997258,90.33161951303155,101.19321973593966
0.7,106.42066808127572,94.96186621227709,82.59056820130317,89.32783714849108,85.10039394718794
0.8,99.58368248456792,90.46370477537722,76.0093537808642,77.50990440672152,78.57979616769548
0.9,106.32138203017834,91.12700017146777,72.45661865569274,87.02480838477366,63.22741362311386
1,0.0,0.0,0.0,0.0,0.0
