Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.66378001621819,32.16352714581246,31.558063988368055,32.27376567826117,31.19379242685637
0.2,32.34844806411628,32.83750936659623,32.38717132209729,33.05772989650315,32.071426749158874
0.3,32.33318186434706,33.47201885301542,32.93667406713398,33.55616916160067,32.59403609306202
0.4,32.782461446876134,33.94253681001971,33.559130770467824,34.00048618727485,33.11602596832983
0.5,34.84562009576586,34.19634626238548,34.12655597566673,34.665250630794,33.598951813947394
0.6,32.99896826450385,35.163858312129044,35.481713803820924,34.87902624941899,35.02862033958972
0.7,32.72036888411059,35.398615045923165,36.55626242116248,35.14516957660112,36.37684203778122
0.8,33.25431852219908,35.610498040657596,37.722666655270864,35.77040954114103,38.02330968402827
0.9,32.77891718506432,36.0991581091047,38.961887865272175,35.40205026646651,40.18016305330911
1,inf,inf,inf,inf,inf
