Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,97.5587885802469,123.00963734567901,117.49097993827164,124.56940586419753,122.0706712962963
0.2,94.58900462962961,106.73011574074073,104.55871141975308,113.13757716049383,112.57404320987655
0.3,96.8380401234568,108.44054783950617,103.99716820987655,104.19636574074073,104.30630401234569
0.4,92.02210648148149,102.54709876543208,97.02243827160495,93.26856481481481,103.5553086419753
0.5,64.26172067901234,86.85407407407409,93.38792438271605,80.96570216049383,114.93340277777777
0.6,89.89962962962964,92.2769598765432,82.3688425925926,89.40198302469138,100.38794753086418
0.7,92.60923611111113,94.24636574074076,77.64831790123456,87.19213734567903,83.53810956790122
0.8,87.81953703703702,88.14904320987652,71.90780864197531,73.6174922839506,79.5484027777778
0.9,91.90481481481481,88.91663580246914,69.66250771604938,82.74412037037038,64.89194444444445
1,0.0,0.0,0.0,0.0,0.0
