Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,44.42746388888889,39.21218680555556,44.40375486111111,39.82373472222223,48.398225000000004
0.2,32.9997763888889,29.798825,33.188118055555556,30.308070138888887,36.35738750000001
0.3,32.7384263888889,25.141140277777776,27.889678472222222,25.59579513888889,30.514424305555558
0.4,28.186070833333332,22.485890277777774,24.379557638888887,22.771310416666665,27.054430555555548
0.5,18.273329166666663,21.830304861111106,23.00245138888889,19.621344444444443,25.922910416666667
0.6,26.73212569444444,17.67174305555556,17.75587569444445,19.021795138888887,19.88940902777778
0.7,28.394433333333332,17.00619583333333,14.993741666666669,18.02911944444444,16.518059722222226
0.8,25.08744930555556,16.264292361111107,12.334609027777775,16.140440277777774,12.898554166666667
0.9,28.196155555555556,14.8296125,10.02180625,16.870807638888888,9.20851388888889
1,0.0,0.0,0.0,0.0,0.0
