Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,108.04683472222223,107.91718263888887,111.48487847222222,110.36852916666666,118.45947777777778
0.2,101.09209166666666,99.51576944444444,99.56101250000002,99.9735201388889,106.87904166666667
0.3,104.50118611111111,100.01175694444443,99.4753701388889,94.03362708333334,98.22552013888888
0.4,97.50310555555554,93.88624166666668,92.22351458333333,84.2987534722222,97.72882083333333
0.5,72.84969027777778,77.69319097222224,88.94921527777777,78.21370694444444,109.87549097222222
0.6,95.56290902777778,87.50598472222224,80.66409236111112,83.29686875000002,95.73041180555558
0.7,100.20280555555554,88.81130416666667,75.2850388888889,82.23092361111112,79.272825
0.8,93.30143124999998,83.74492569444443,69.56328680555555,69.41283333333332,74.71277916666666
0.9,100.1547847222222,84.71825277777779,67.02299513888887,80.26739652777779,60.023945833333336
1,0.0,0.0,0.0,0.0,0.0
