Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.65428838320205,32.19659297932582,31.656606644805244,32.12938374558866,31.28250926637569
0.2,32.945693638203466,33.38881221156651,32.92097734589471,33.3152207724574,32.524876919037006
0.3,32.9802256016726,34.126953896215404,33.676368533621535,34.049117353204636,33.28575180030287
0.4,33.63045821865207,34.61170273719473,34.260545396812184,34.556923372641045,33.80841963578154
0.5,35.51262683411485,34.740205601760046,34.513062392878616,35.203515991695845,33.993966018274925
0.6,33.86046866358971,35.658009725340484,35.637382649181525,35.33828860773078,35.14458481704663
0.7,33.598471549610274,35.82473185019161,36.37170336931356,35.57105844891902,35.95121328865445
0.8,34.136238529544194,36.018451884452524,37.21954972730822,36.05164983666402,37.02539329067077
0.9,33.62890463003389,36.4195055787125,38.121343585270324,35.859444872463584,38.488908133998144
1,inf,inf,inf,inf,inf
