FN- frame/model,yolov5,ssd,retinanet
1,1.5,1.5,1.5
2,1.5,1.5,1.5
4,1.5,1.0,1.0
8,1.25,1.0,2.0
16,1.25,1.0,2.0
32,1.5,1.0,1.25
