accuracy- frame/model,yolov5,ssd,retinanet
1,0.31,0.053,0.006
2,0.31,0.053,0.006
4,0.2,0.05,0.005
8,0.4,0.067,0.005
16,0.367,0.082,0.005
32,0.333,0.05,0.006
