recall- frame/model,yolov5,ssd,retinanet
1,0.417,0.333,0.333
2,0.417,0.333,0.333
4,0.417,0.5,0.292
8,0.417,0.542,0.25
16,0.408,0.5,0.333
32,0.417,0.5,0.333
