TP- frame/model,yolov5,ssd,retinanet
1,1.0,1.0,1.0
2,1.0,1.0,1.0
4,1.0,1.0,1.0
8,1.0,1.25,1.0
16,1.5,1.5,1.0
32,1.0,1.0,1.0
