FP- frame/model,yolov5,ssd,retinanet
1,2.5,18.5,174.0
2,2.5,18.5,174.0
4,1.5,18.5,182.0
8,2.0,18.25,184.75
16,2.0,18.0,183.5
32,2.0,18.5,182.0
