size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32
14400,160x90,281,294,430,522,614,716,,14400,160x90,155,166,240,310,389,441,,14400,160x90,163,161,173,213,297,480,,14400,160x90,278,290,423,505,576,631,,14400,160x90,152,162,233,293,351,356,,14400,160x90,35,35,34,39,45,59,,14400,160x90,314,370,592,852,1278,2044,,14400,160x90,188,242,402,640,1053,1769,,14400,160x90,224,402,765,1461,2908,5707
19200,160x120,283,356,440,560,667,834,,19200,160x120,157,201,261,342,401,666,,19200,160x120,160,166,181,231,340,555,,19200,160x120,281,352,432,540,621,732,,19200,160x120,155,197,253,322,355,564,,19200,160x120,35,35,35,43,51,65,,19200,160x120,313,424,585,854,1257,2013,,19200,160x120,187,269,406,636,991,1845,,19200,160x120,203,355,682,1308,2575,5068
25344,176x144,287,368,502,612,686,957,,25344,176x144,160,212,308,392,604,918,,25344,176x144,168,177,202,261,388,642,,25344,176x144,284,362,491,582,625,826,,25344,176x144,157,206,297,362,543,787,,25344,176x144,35,35,38,45,56,71,,25344,176x144,313,428,631,872,1213,2010,,25344,176x144,186,272,437,652,1131,1971,,25344,176x144,183,337,639,1248,2438,4804
43200,240x180,360,448,562,738,958,1011,,43200,240x180,200,265,334,454,697,981,,43200,240x180,164,167,207,260,385,644,,43200,240x180,357,442,550,708,892,874,,43200,240x180,197,259,322,424,631,844,,43200,240x180,37,38,42,48,64,89,,43200,240x180,388,513,701,1020,1522,2144,,43200,240x180,228,330,473,736,1261,2114,,43200,240x180,196,359,687,1306,2607,5168
57600,320x180,428,513,616,715,894,1015,,57600,320x180,238,289,325,539,750,737,,57600,320x180,168,175,206,246,375,623,,57600,320x180,425,506,603,688,833,885,,57600,320x180,235,282,312,512,689,607,,57600,320x180,37,43,45,55,76,108,,57600,320x180,460,586,771,1032,1530,2288,,57600,320x180,270,362,480,856,1386,2010,,57600,320x180,224,411,777,1479,2951,5787
76800,320x240,449,557,643,793,1166,1039,,76800,320x240,255,346,430,609,908,1272,,76800,320x240,165,182,215,270,415,722,,76800,320x240,445,550,628,760,1093,882,,76800,320x240,251,339,415,576,835,1115,,76800,320x240,40,43,48,59,80,127,,76800,320x240,476,621,779,1071,1724,2153,,76800,320x240,282,410,566,887,1466,2386,,76800,320x240,202,365,692,1318,2641,5196
129600,480x270,517,624,652,752,955,1316,,129600,480x270,340,398,569,815,1190,1533,,129600,480x270,172,187,220,290,438,705,,129600,480x270,513,616,637,718,883,1164,,129600,480x270,336,390,554,781,1118,1381,,129600,480x270,44,51,56,77,112,178,,129600,480x270,548,696,805,1062,1579,2566,,129600,480x270,371,470,722,1125,1814,2783,,129600,480x270,226,425,786,1501,2982,5865
172800,480x360,565,630,735,817,1025,1518,,172800,480x360,333,431,630,829,988,1539,,172800,480x360,180,198,245,322,503,891,,172800,480x360,560,621,717,776,938,1334,,172800,480x360,328,422,612,788,901,1355,,172800,480x360,48,55,71,97,146,240,,172800,480x360,591,692,868,1088,1568,2604,,172800,480x360,359,493,763,1100,1531,2625,,172800,480x360,208,377,718,1364,2707,5273
230400,640x360,610,728,780,851,2501,1657,,230400,640x360,362,543,724,497,1471,1892,,230400,640x360,177,197,234,305,472,794,,230400,640x360,606,720,764,816,2427,1500,,230400,640x360,358,535,708,462,1397,1735,,230400,640x360,51,62,77,111,168,289,,230400,640x360,642,800,932,1160,3124,2903,,230400,640x360,394,615,876,806,2094,3138,,230400,640x360,236,430,808,1539,3036,5987
