Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.2,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.3,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.4,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.5,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.6,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.7,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.8,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.9,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
1,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
