resolution,time(ms)
160x90,14.58
160x100,13.91
160x120,14.32
240x180,16.3
320x180,17.56
320x200,17.89
320x240,19.68
480x270,23.18
480x300,24.65
480x360,28.78
640x360,35.88
640x400,38.63
640x480,42.3
800x450,49.76
800x500,54.87
800x600,61.45
1024x576,75.04
1024x640,86.74
1024x768,106.2
1280x720,81.48
1280x800,97.16
1280x960,115.15
1440x900,114.44
1440x1080,177.2
1920x1080,176.84
