resolution,time(ms)
160x90,14.5
160x120,14.16
176x144,13.6
240x180,15.97
320x180,15.6
320x240,15.65
480x270,18.56
480x360,23.1
640x360,23.99
640x480,26.38
800x450,29.3
800x600,33.44
1024x640,39.53
1024x768,47.5
1280x720,51.72
1280x800,58.04
1280x960,66.08
