resolution,time(ms)
streamid_1/quality_1,13.9
streamid_1/quality_2,12.68
streamid_1/quality_3,12.95
streamid_1/quality_4,13.13
streamid_1/quality_5,13.58
streamid_0/quality_1,13.66
streamid_0/quality_2,14.14
streamid_0/quality_3,15.07
streamid_0/quality_4,15.52
streamid_0/quality_5,16.37
