Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,30.052734375,30.052734375,30.052734375,30.052734375,30.052734375
0.2,120.052734375,120.052734375,120.052734375,120.052734375,120.052734375
0.3,270.052734375,270.052734375,270.052734375,270.052734375,270.052734375
0.4,480.052734375,480.052734375,480.052734375,480.052734375,480.052734375
0.5,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.6,1080.052734375,1080.052734375,1080.052734375,1080.052734375,1080.052734375
0.7,1470.052734375,1470.052734375,1470.052734375,1470.052734375,1470.052734375
0.8,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
0.9,2430.052734375,2430.052734375,2430.052734375,2430.052734375,2430.052734375
1,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
