Nearest_0.9,1,2,4,8,16,32
160x90,220.215,276.367,347.087,478.223,565.605,733.53
160x100,218.179,276.06,399.769,486.704,559.686,699.933
160x120,276.422,276.039,405.187,506.647,572.77,694.928
320x180,347.669,492.674,555.427,691.902,751.698,809.002
320x200,408.745,473.341,616.493,683.706,826.133,800.652
320x240,416.956,497.899,586.908,637.458,755.632,851.825
480x270,474.784,592.551,681.972,749.237,824.727,976.617
480x300,515.253,600.281,681.491,731.587,889.482,1054.234
480x360,539.892,599.088,671.9,686.108,895.12,1139.727
640x360,556.991,673.409,749.636,757.894,1000.15,1281.626
640x400,613.17,664.808,734.104,1270.245,1035.892,1471.683
640x480,621.114,691.738,761.342,872.365,1041.631,1415.441
800x450,623.374,675.176,797.546,1274.382,1167.062,1627.426
800x500,630.715,686.406,870.94,990.585,1872.44,1645.932
800x600,680.709,771.827,816.145,1014.889,1317.911,1757.996
1024x576,712.999,693.198,881.175,1072.387,1466.099,2069.084
1024x640,728.466,765.115,1883.477,1125.345,1386.871,2642.653
1024x768,724.95,817.267,2117.007,1173.523,1651.397,2486.613
1280x720,773.12,810.835,998.945,1278.88,2270.181,3796.189
1280x800,750.489,803.665,1009.296,2162.282,1929.965,2905.67
1280x960,764.738,1349.674,1070.356,1483.615,3148.893,3162.333
1440x900,1021.247,927.454,1173.997,1470.715,2224.322,4058.158
1440x1080,1264.474,1494.495,2676.279,2030.445,2392.444,3921.782
1920x1080,817.36,978.858,1965.527,2719.77,2861.412,4699.625
