Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.306886422325185,31.745057956436547,31.33746590942149,31.68496261201232,31.038357624900055
0.2,32.72835008166305,33.12032145586756,32.705273511516445,32.93927857945602,32.30262639260183
0.3,32.84135827049478,33.942642486929806,33.66339404801011,33.79103311928248,33.25833035756331
0.4,33.59427576836583,34.624226695033435,34.50591050286401,34.426166758276345,34.056323744678146
0.5,35.71985804074223,34.777876056353634,34.761367720885794,35.24113507283801,34.26050473847387
0.6,33.911809387544174,35.80106003370306,35.99067864753584,35.411898803155715,35.49509263441949
0.7,33.6536001858558,36.076542875308654,36.741102834729645,35.76829022997509,36.35070576104807
0.8,34.29504341535534,36.32206900790009,37.65915806221165,36.224323750836724,37.614741959938165
0.9,33.758631115782514,36.772448674825725,38.78070690313247,36.148878955845476,39.534281248701795
1,inf,inf,inf,inf,inf
