Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,99.2846701388889,111.23749228395062,112.01810570987655,114.49166859567904,119.56933641975311
0.2,94.57399691358025,100.24694444444445,99.15459297839506,100.84936728395063,108.29379050925925
0.3,96.47277584876544,99.69485725308643,97.29004050925926,93.69485532407407,95.87159915123458
0.4,90.76197530864196,91.07316550925927,87.02428626543211,81.33586805555557,94.14760223765434
0.5,60.838697916666675,71.90267554012347,82.57584490740739,69.10817322530865,109.08087770061726
0.6,88.41699652777778,83.06010416666665,72.59471643518519,78.4781847993827,91.69497106481481
0.7,91.91756944444444,83.29279320987655,67.44238811728395,76.79141203703703,71.46357060185186
0.8,85.90199459876543,77.18627314814816,61.44815972222223,62.19591435185184,67.74407600308642
0.9,91.30024691358027,78.34645254629629,59.299646990740726,73.45885802469137,52.75777391975309
1,0.0,0.0,0.0,0.0,0.0
