Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,48.12732445987654,43.508545524691364,47.7896412037037,44.11477816358025,51.1970100308642
0.2,34.69327932098765,31.699193672839506,34.87811535493827,33.04855709876544,38.26641010802469
0.3,33.80216628086419,26.231076388888887,27.973123070987647,27.162957175925925,30.707702546296296
0.4,28.42187885802469,22.421140046296298,23.040362654320983,23.46733024691358,25.553358410493832
0.5,17.42186149691358,21.64176890432099,21.724189814814817,19.452116126543213,24.379785879629626
0.6,26.41796875,17.09914351851852,16.368636188271605,18.702104552469137,18.347255015432097
0.7,28.03627700617284,16.048190586419757,13.771145833333332,17.22865354938272,15.066410108024687
0.8,24.186666666666667,15.166084104938275,11.147168209876542,15.511292438271605,11.261757330246912
0.9,27.36637345679012,13.672108410493824,8.61012924382716,15.78310570987654,7.238560956790122
1,0.0,0.0,0.0,0.0,0.0
