size,image_quality,1,2,4,8,16,32
14400,160x90,219,393,731,1443,2886,5631
19200,160x120,224,341,668,1287,2538,5054
25344,176x144,174,331,629,1219,2412,4771
43200,240x180,183,340,666,1357,2547,5034
57600,320x180,219,382,757,1449,3136,5772
76800,320x240,204,351,655,1287,2581,5088
129600,480x270,203,399,752,1423,2941,5690
172800,480x360,200,344,653,1291,2551,5039
230400,640x360,227,391,741,1441,2914,5720
307200,640x480,183,342,654,1293,2607,5091
360000,800x450,219,401,759,1444,2908,5741
480000,800x600,190,347,669,1287,2568,5029
655360,1024x640,225,400,749,1445,2967,5874
786432,1024x768,182,339,655,1290,2556,5073
921600,1280x720,209,395,761,1437,3099,5764
1024000,1280x800,222,398,766,1467,2889,5793
1228800,1280x960,196,340,667,1368,2687,5067
