Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,97.35848958333335,122.81145833333332,117.35418402777779,131.67064236111108,122.65611111111113
0.2,93.8884548611111,112.93081597222223,108.20347222222222,119.38392361111111,115.68942708333336
0.3,95.45416666666667,115.53684027777778,109.18390625000004,113.02442708333334,110.32204861111111
0.4,93.24810763888888,110.42734375,103.00859375000002,103.00331597222223,109.02548611111112
0.5,66.75828125,97.82064236111113,99.09493055555554,89.73835069444443,118.19039930555553
0.6,91.46538194444443,98.66758680555554,89.01161458333333,97.77664930555555,106.07600694444446
0.7,94.63161458333333,102.00019097222221,86.01631944444445,95.82178819444447,92.15704861111111
0.8,90.22777777777777,97.28442708333331,81.18878472222221,83.22887152777777,89.07364583333333
0.9,94.64239583333334,97.53276041666665,78.6634201388889,90.80592013888891,74.97484375
1,0.0,0.0,0.0,0.0,0.0
