Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,29.76698326386179,30.251382436948212,29.81389958427382,29.956493978956864,29.63480753613357
0.2,31.006824984326506,31.349508446237564,31.016542436595557,31.21030673070168,30.774131367920297
0.3,31.05236471552154,32.174777523752944,31.91585466615379,31.98532643303874,31.52027250659288
0.4,31.687421431566236,32.78023491672675,32.61461173159484,32.560958314346806,32.18079294626107
0.5,33.670707092074224,32.896968155469324,32.859501215387816,33.19828826993953,32.297286516473555
0.6,32.02545879874669,33.83123236275548,33.91621828632106,33.51336220614614,33.321292194029176
0.7,31.74705343100309,34.14372872371066,34.59611610449286,33.90281131647394,34.103056772877736
0.8,32.34322200932929,34.409444398507226,35.49068900943013,34.302821935038025,35.283825835672474
0.9,31.86489807224688,34.69676896233631,36.52937618585127,34.251843628471995,36.983020500226644
1,inf,inf,inf,inf,inf
