Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,60.802734375,60.802734375,60.802734375,60.802734375,60.802734375
0.2,243.052734375,243.052734375,243.052734375,243.052734375,243.052734375
0.3,546.802734375,546.802734375,546.802734375,546.802734375,546.802734375
0.4,972.052734375,972.052734375,972.052734375,972.052734375,972.052734375
0.5,1518.802734375,1518.802734375,1518.802734375,1518.802734375,1518.802734375
0.6,2187.052734375,2187.052734375,2187.052734375,2187.052734375,2187.052734375
0.7,2976.802734375,2976.802734375,2976.802734375,2976.802734375,2976.802734375
0.8,3888.052734375,3888.052734375,3888.052734375,3888.052734375,3888.052734375
0.9,4920.802734375,4920.802734375,4920.802734375,4920.802734375,4920.802734375
1,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
