TP- frame/model,yolov5,ssd,retinanet
1,1.1,1.2,1.0
2,1.1,1.2,1.0
4,0.95,1.2,0.925
8,1.15,1.387,0.8
16,1.113,1.45,0.988
32,1.0,1.294,0.922
