FN- frame/model,yolov5,ssd,retinanet
1,1.6,1.5,1.7
2,1.6,1.5,1.7
4,1.525,1.275,1.55
8,1.5,1.262,1.85
16,1.706,1.369,1.831
32,1.578,1.284,1.656
