accuracy- frame/model,yolov5,ssd,retinanet
1,0.462,0.064,0.005
2,0.462,0.064,0.005
4,0.347,0.069,0.004
8,0.352,0.076,0.004
16,0.333,0.08,0.005
32,0.342,0.072,0.005
