recall- resolution/model,yolov5,ssd,retinanet
160x90,0.0,0.0,0.0
160x100,0.115,0.258,0.51
160x120,0.0,0.0,0.0
240x180,1.0,1.0,0.0
320x180,0.436,0.931,0.059
320x200,1.0,1.0,0.0
320x240,0.666,0.454,0.0
480x270,0.529,0.525,0.012
480x300,0.655,0.865,0.094
480x360,0.753,0.753,0.0
640x360,0.804,0.804,0.196
640x400,0.751,0.79,0.0
640x480,1.0,1.0,0.0
800x450,0.682,0.679,0.131
800x500,0.967,0.923,0.047
800x600,0.949,0.524,0.0
1024x576,1.0,0.997,0.006
1024x640,1.0,0.741,0.001
1024x768,1.0,0.415,0.09
1280x720,1.0,1.0,0.0
1280x800,0.978,0.61,0.022
1280x960,0.973,0.582,0.027
1440x900,0.872,0.545,0.118
1440x1080,1.0,0.648,0.0
1920x1080,0.574,0.796,0.021
