accuracy- resolution/model,yolov5,ssd,retinanet
160x90,0.0,0.0,0.0
160x100,0.224,0.027,0.004
160x120,0.0,0.0,0.0
240x180,0.51,0.05,0.0
320x180,0.792,0.1,0.001
320x200,0.253,0.05,0.0
320x240,1.0,0.068,0.0
480x270,0.33,0.05,0.0
480x300,0.681,0.2,0.002
480x360,0.683,0.15,0.0
640x360,0.998,0.2,0.005
640x400,0.997,0.202,0.0
640x480,0.562,0.15,0.0
800x450,0.928,0.213,0.005
800x500,0.515,0.148,0.001
800x600,0.504,0.1,0.0
1024x576,0.53,0.15,0.0
1024x640,0.575,0.145,0.0
1024x768,0.609,0.096,0.003
1280x720,0.421,0.15,0.0
1280x800,0.732,0.153,0.001
1280x960,0.435,0.1,0.001
1440x900,0.692,0.15,0.004
1440x1080,0.4,0.1,0.0
1920x1080,0.569,0.122,0.001
