FP- resolution/model,yolov5,ssd,retinanet
160x90,1.0,20.0,240.802
160x100,0.021,18.891,244.323
160x120,0.0,19.688,196.964
240x180,0.979,19.0,153.839
320x180,0.349,18.0,190.083
320x200,2.958,19.0,205.682
320x240,0.0,18.635,163.693
480x270,2.047,19.005,184.135
480x300,1.469,16.0,186.625
480x360,1.458,17.0,173.578
640x360,0.01,16.0,180.302
640x400,0.016,15.964,171.182
640x480,2.401,17.0,160.943
800x450,0.365,15.75,176.323
800x500,2.943,16.932,176.161
800x600,3.677,18.0,171.448
1024x576,2.724,17.0,156.068
1024x640,2.948,17.109,175.083
1024x768,3.078,18.083,163.057
1280x720,4.135,17.0,150.172
1280x800,1.839,16.938,163.151
1280x960,4.557,18.0,155.562
1440x900,2.141,17.0,158.51
1440x1080,4.724,18.0,149.005
1920x1080,1.323,17.552,127.901
