Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,1912.552734375,1912.552734375,1912.552734375,1912.552734375,1912.552734375
0.2,1922.552734375,1922.552734375,1922.552734375,1922.552734375,1922.552734375
0.3,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
0.4,1922.552734375,1922.552734375,1922.552734375,1922.552734375,1922.552734375
0.5,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
0.6,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
0.7,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
0.8,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
0.9,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
1,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
