Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,2.302734375,2.302734375,2.302734375,2.302734375,2.302734375
0.2,9.052734375,9.052734375,9.052734375,9.052734375,9.052734375
0.3,20.302734375,20.302734375,20.302734375,20.302734375,20.302734375
0.4,36.052734375,36.052734375,36.052734375,36.052734375,36.052734375
0.5,56.302734375,56.302734375,56.302734375,56.302734375,56.302734375
0.6,81.052734375,81.052734375,81.052734375,81.052734375,81.052734375
0.7,110.302734375,110.302734375,110.302734375,110.302734375,110.302734375
0.8,144.052734375,144.052734375,144.052734375,144.052734375,144.052734375
0.9,182.302734375,182.302734375,182.302734375,182.302734375,182.302734375
1,225.052734375,225.052734375,225.052734375,225.052734375,225.052734375
