accuracy- resolution/model,yolov5,ssd,retinanet
176x144,0.0,0.011,0.003
160x90,0.0,0.006,0.011
160x120,0.0,0.055,0.016
240x180,0.561,0.111,0.0
320x180,0.471,0.111,0.009
320x240,0.906,0.122,0.0
480x270,0.415,0.176,0.009
480x360,0.969,0.118,0.0
640x360,0.294,0.166,0.009
800x450,0.358,0.181,0.009
800x600,0.938,0.108,0.0
640x480,0.995,0.12,0.0
1024x640,0.993,0.232,0.0
1280x800,0.979,0.218,0.0
1024x768,0.965,0.101,0.0
1280x720,0.546,0.208,0.006
1280x960,0.958,0.101,0.0
