TP- resolution/model,yolov5,ssd,retinanet
176x144,0.0,0.208,0.167
160x90,0.0,0.062,1.0
160x120,0.0,0.823,1.0
240x180,0.615,2.0,0.0
320x180,2.052,2.052,1.0
320x240,1.479,2.432,0.0
480x270,2.635,3.38,1.0
480x360,1.26,2.365,0.0
640x360,2.443,3.271,1.0
800x450,2.734,3.422,1.0
800x600,1.135,2.094,0.0
640x480,1.245,2.292,0.0
1024x640,2.177,3.99,0.0
1280x800,3.052,4.266,0.0
1024x768,1.661,2.005,0.0
1280x720,3.542,4.099,0.641
1280x960,1.49,2.0,0.0
