FN- resolution/model,yolov5,ssd,retinanet
176x144,0.375,0.167,0.208
160x90,1.177,1.115,0.177
160x120,1.823,1.0,0.823
240x180,2.422,1.036,3.036
320x180,1.0,1.0,2.052
320x240,1.63,0.677,3.109
480x270,1.036,0.292,2.672
480x360,1.323,0.219,2.583
640x360,1.458,0.63,2.901
800x450,1.562,0.875,3.297
800x600,0.964,0.005,2.099
640x480,1.224,0.177,2.469
1024x640,2.734,0.922,4.911
1280x800,2.089,0.875,5.141
1024x768,0.344,0.0,2.005
1280x720,1.698,1.141,4.599
1280x960,0.516,0.005,2.005
