Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,1.740234375,1.740234375,1.740234375,1.740234375,1.740234375
0.2,6.802734375,6.802734375,6.802734375,6.802734375,6.802734375
0.3,15.240234375,15.240234375,15.240234375,15.240234375,15.240234375
0.4,27.052734375,27.052734375,27.052734375,27.052734375,27.052734375
0.5,42.240234375,42.240234375,42.240234375,42.240234375,42.240234375
0.6,60.802734375,60.802734375,60.802734375,60.802734375,60.802734375
0.7,82.740234375,82.740234375,82.740234375,82.740234375,82.740234375
0.8,108.052734375,108.052734375,108.052734375,108.052734375,108.052734375
0.9,136.740234375,136.740234375,136.740234375,136.740234375,136.740234375
1,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
